"Flokkun","N","skipting","ath"
"Bandormur",1,"1","óviss"
"lirfa",1,"1","óviss, bivalvia"
"Skeljar",3,"1",""
"Götungar",2,"1",""
"Ophelina acuminata",29,"1",""
"Scalibregma inflatum",3,"1",""
"Polydora sp",12,"1",""
"Nemertea",2,"1",""
"Chaetozone setosa",1,"1",""
"Eteone longa",1,"1",""
"Maldanidae",8,"1",""
"Spionidae sp",2,"1",""
"NA",3,"1/4","óviss"
"Syllis",1,"1/4","óviss"
"Macoma calcarea",9,"1/4",""
"Mya arenaria",7,"1/4",""
"Arctica islandica",3,"1/4",""
"Serripes groenlandicus",1,"1/4",""
"Serripes groenlandicus",1,"1","stór"
"Cardiidae",1,"1","smá"
"Macoma calcarea",1,"1","smá"
"Mya arenaria",7,"1",""
"Götungar",2,"1/4",""
"Bandormur",6,"1/4","óviss"
"Harpacticoida",2,"1/4",""
"Scalibregma inflatum",4,"1/4",""
"Ampharetidae sp",1,"1/4",""
"Scoloplos armiger",4,"1/4",""
"Maldanidae",1,"1/4",""
"Ophelina acuminata",12,"1/4",""
"Heteromastus filiformis",13,"1/4",""
"Spionidae sp",NA,"1/4",""
"Maldanidae sp",2,"1/4",""
"Polydora sp",9,"1/4",""
"Capitellidae sp",3,"1/4",""
"Nemertea",7,"1/4",""
"Crassicorophium bonellii",1,"1/4",""
"Cossura longocirrata",1,"1/4",""
"Aricidea suecica",3,"1/4",""
